optimal_bounday_area = 1464.500000
Temperature	Acceptanced	Randum	Cost	WastedArea
9.5000e+03	4495.0000	34228	15270	1043.5000	41.6069
9.0250e+03	4504.5000	34291	15193	1043.5000	41.6069
8.5738e+03	4615.0000	34246	15208	934.2500	38.9474
8.1451e+03	5547.0000	34115	15279	934.2500	38.9474
7.7378e+03	4277.5000	34134	15207	934.2500	38.9474
7.3509e+03	5512.5000	34182	15212	934.2500	38.9474
6.9834e+03	4792.5000	34087	15175	860.5000	37.0108
6.6342e+03	4567.5000	34195	15141	860.5000	37.0108
6.3025e+03	3212.0000	34199	15080	860.5000	37.0108
5.9874e+03	5801.2500	34076	15147	860.5000	37.0108
5.6880e+03	4299.7500	34071	15129	860.5000	37.0108
5.4036e+03	4420.0000	34004	15081	860.5000	37.0108
5.1334e+03	4147.0000	34188	14898	860.5000	37.0108
4.8767e+03	6144.0000	34017	15052	860.5000	37.0108
4.6329e+03	3799.5000	33917	15059	860.5000	37.0108
4.4013e+03	4039.2500	33931	15062	860.5000	37.0108
4.1812e+03	5809.0000	33870	15003	860.5000	37.0108
3.9721e+03	5181.0000	33894	14950	860.5000	37.0108
3.7735e+03	4836.0000	33719	15034	860.5000	37.0108
3.5849e+03	4650.0000	33920	14761	860.5000	37.0108
3.4056e+03	5755.7500	33773	14817	860.5000	37.0108
3.2353e+03	4053.7500	33699	14841	860.5000	37.0108
3.0736e+03	5146.5000	33686	14793	860.5000	37.0108
2.9199e+03	6369.0000	33717	14762	860.5000	37.0108
2.7739e+03	6122.5000	33500	14876	860.5000	37.0108
2.6352e+03	5642.5000	33525	14747	860.5000	37.0108
2.5034e+03	4371.0000	33488	14672	860.5000	37.0108
2.3783e+03	7199.5000	33550	14570	860.5000	37.0108
2.2594e+03	3258.5000	33477	14419	860.5000	37.0108
2.1464e+03	5848.2500	33375	14596	860.5000	37.0108
2.0391e+03	5133.0000	33375	14448	860.5000	37.0108
1.9371e+03	5104.5000	33376	14345	860.5000	37.0108
1.8403e+03	4265.7500	33272	14214	859.5000	36.9836
1.7482e+03	6233.5000	33239	14161	859.5000	36.9836
1.6608e+03	4468.7500	32971	14257	859.5000	36.9836
1.5778e+03	3413.2500	32891	14304	859.5000	36.9836
1.4989e+03	5584.5000	32895	14283	859.5000	36.9836
1.4240e+03	3700.7500	32890	13948	859.5000	36.9836
1.3528e+03	3852.5000	33005	13852	738.2500	33.5149
1.2851e+03	3996.2500	32724	13926	738.2500	33.5149
1.2209e+03	4978.0000	32571	13905	738.2500	33.5149
1.1598e+03	3976.0000	32507	13798	738.2500	33.5149
1.1018e+03	3624.2500	32583	13608	738.2500	33.5149
1.0467e+03	3105.7500	32326	13662	738.2500	33.5149
9.9440e+02	5445.0000	32392	13404	738.2500	33.5149
9.4468e+02	4445.0000	32143	13377	738.2500	33.5149
8.9745e+02	3358.2500	32056	13319	738.2500	33.5149
8.5258e+02	3613.5000	31735	13369	729.2500	33.2422
8.0995e+02	4159.2500	31651	13244	729.2500	33.2422
7.6945e+02	4606.5000	31730	13007	729.2500	33.2422
7.3098e+02	3760.0000	31720	12795	729.2500	33.2422
6.9443e+02	4371.0000	31340	12918	729.2500	33.2422
6.5971e+02	3939.7500	31195	12794	729.2500	33.2422
6.2672e+02	4160.0000	31067	12598	729.2500	33.2422
5.9539e+02	4495.0000	30843	12541	729.2500	33.2422
5.6562e+02	5557.5000	30828	12317	729.2500	33.2422
5.3734e+02	4154.0000	30435	12345	729.2500	33.2422
5.1047e+02	5025.0000	30249	12277	729.2500	33.2422
4.8495e+02	4491.7500	30281	11929	729.2500	33.2422
4.6070e+02	4588.5000	30136	11764	729.2500	33.2422
4.3766e+02	3424.0000	29804	11638	729.2500	33.2422
4.1578e+02	3325.0000	29742	11493	729.2500	33.2422
3.9499e+02	3648.7500	29541	11456	729.2500	33.2422
3.7524e+02	4898.5000	29188	11337	729.2500	33.2422
